sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,year
210,166431,4693685,0,0,0,2014
211,169832,4695184,0,0,0,2014
212,174827,4694676,0,0,0,2014
213,185036,4692344,0,0,0,2014
214,189838,4694662,0,0,0,2014
215,218908,4692862,0,0,0,2014
216,225290,4695667,0,0,0,2014
217,226203,4693931,0,0,0,2014
218,232570,4692618,0,0,0,2014
219,236129,4694055,0,0,0,2014
220,238612,4694660,0,0,0,2014
221,246843,4695905,0,0,0,2014
222,251801,4695942,0,0,0,2014
223,255494,4694990,0,0,0,2014
224,269744,4696128,0,0,0,2014
225,272563,4695824,0,0,0,2014
226,323700,4694358,0,0,0,2014
227,328825,4692516,0,0,0,2014
228,363843,4693628,0,0,0,2014
229,396330,4693862,0,0,0,2014
230,401495,4694453,0,0,0,2014
231,405903,4693801,0,0,0,2014
232,420184,4695573,0,0,0,2014
233,424355,4693386,0,0,0,2014
234,430200,4694613,0,0,0,2014
235,455147,4693946,0,0,0,2014
236,471065,4692783,0,0,0,2014
237,474725,4693394,0,0,0,2014
238,492745,4695120,0,0,0,2014
239,495008,4695053,0,0,0,2014
240,499949,4695251,0,0,0,2014
241,501471,4695311,0,0,0,2014
242,510462,4695638,0,0,0,2014
243,514561,4694573,0,0,0,2014
244,518851,4693991,0,0,0,2014
245,521667,4695442,0,0,0,2014
246,139047,4698525,0,0,0,2014
247,141903,4698626,0,0,0,2014
248,150672,4698485,0,0,0,2014
249,153689,4698497,0,0,0,2014
250,161087,4697607,0,0,0,2014
251,165759,4698512,0,0,0,2014
252,169954,4698039,0,0,0,2014
253,175111,4698495,0,0,0,2014
254,181154,4696756,0,0,0,2014
255,184345,4697934,0,0,0,2014
256,223877,4698554,0,0,0,2014
257,226184,4698763,0,0,0,2014
258,247507,4697588,0,0,0,2014
259,250552,4699308,0,0,0,2014
260,253557,4699868,0,0,0,2014
261,266932,4699066,0,0,0,2014
262,269529,4696701,0,0,0,2014
263,274336,4698193,0,0,0,2014
264,386235,4697351,0,0,0,2014
265,390633,4698564,0,0,0,2014
266,393737,4697318,0,0,0,2014
267,397169,4696359,0,0,0,2014
268,402547,4696394,0,0,0,2014
269,406490,4698013,0,0,0,2014
270,421170,4698181,0,0,0,2014
271,425471,4699304,0,0,0,2014
272,456642,4696803,0,0,0,2014
273,469943,4698720,0,0,0,2014
274,475506,4699222,0,0,0,2014
275,478314,4698079,0,0,0,2014
276,513855,4698988,0,0,0,2014
277,540348,4698211,0,0,NA,2014
278,543329,4697429,0,0,NA,2014
279,552081,4696660,0,0,NA,2014
280,134194,4701320,0,0,0,2014
281,137909,4702636,0,0,0,2014
282,142593,4701718,0,0,0,2014
283,165550,4701387,0,0,0,2014
284,169459,4701714,0,0,0,2014
285,181719,4702144,0,0,0,2014
286,184687,4702003,0,0,0,2014
287,189081,4703991,0,0,0,2014
288,204020,4702442,0,0,0,2014
289,208722,4702328,0,0,0,2014
290,246925,4701993,0,0,0,2014
291,259133,4702049,0,0,0,2014
292,261927,4701352,0,0,0,2014
293,264426,4700475,0,0,0,2014
294,293347,4701647,0,0,0,2014
295,239711,4714413,0,0,0,2014
296,321135,4712291,0,0,NA,2014
297,304758,4702207,0,0,0,2014
298,308665,4702260,0,0,0,2014
299,313479,4702216,0,0,0,2014
300,393116,4717775,0,0,0,2014
301,304808,4719196,0,0,NA,2014
302,389726,4702110,0,0,NA,2014
303,392641,4701882,0,0,0,2014
304,398919,4702766,0,0,0,2014
305,401976,4701652,0,0,0,2014
306,407378,4703187,0,0,0,2014
307,460317,4700806,0,0,0,2014
308,464495,4703931,0,0,0,2014
309,470664,4700450,0,0,0,2014
310,476682,4701950,0,0,0,2014
311,538469,4703439,0,0,0,2014
312,541387,4702440,0,0,NA,2014
313,543983,4701983,0,0,NA,2014
314,549014,4701713,0,0,NA,2014
315,552532,4702986,0,0,NA,2014
316,138198,4705227,0,0,0,2014
317,143898,4704848,0,0,0,2014
318,204510,4706072,0,0,0,2014
319,207359,4705130,0,0,0,2014
320,234509,4705812,0,0,NA,2014
321,238811,4704338,0,NA,0,2014
322,252298,4707360,0,0,0,2014
323,255989,4705239,0,0,0,2014
324,262536,4704955,0,0,0,2014
325,267944,4704892,0,0,0,2014
326,289901,4706075,0,0,0,2014
327,292966,4706257,0,0,0,2014
328,388873,4720503,0,0,0,2014
329,395217,4721075,0,NA,0,2014
330,304344,4707011,0,0,0,2014
331,308840,4705185,0,0,0,2014
332,313788,4705283,0,0,0,2014
333,298180,4724455,0,0,0,2014
334,301307,4725205,0,0,0,2014
335,336803,4705003,0,0,NA,2014
336,339745,4705624,0,0,0,2014
337,303534,4725847,0,0,0,2014
338,403212,4704517,0,0,0,2014
339,447885,4706507,0,0,0,2014
340,309109,4725916,0,0,NA,2014
341,461420,4706562,0,0,0,2014
342,488510,4705166,0,0,0,2014
343,490647,4707177,0,NA,NA,2014
344,495693,4706605,0,0,0,2014
345,514540,4705794,0,0,0,2014
346,517460,4707288,0,0,0,2014
347,542332,4703841,0,0,0,2014
348,552315,4704645,0,0,NA,2014
349,204357,4709356,0,0,0,2014
350,208031,4709660,0,0,0,2014
351,231430,4709575,0,0,0,2014
352,236151,4711047,0,0,0,2014
353,239354,4709913,0,NA,0,2014
354,254601,4709664,0,0,0,2014
355,263523,4709672,0,0,NA,2014
356,288653,4709364,0,0,0,2014
357,293114,4709988,0,0,0,2014
358,331855,4708863,0,0,0,2014
359,335274,4708571,0,0,0,2014
360,339655,4709779,0,0,0,2014
361,403269,4710923,0,0,0,2014
362,428240,4708244,0,0,0,2014
363,444487,4709197,0,0,0,2014
364,446672,4709231,0,0,0,2014
365,450676,4710745,0,0,0,2014
366,459896,4710229,0,0,0,2014
367,464557,4708742,0,0,0,2014
368,486846,4710508,0,0,0,2014
369,491620,4709915,0,0,0,2014
370,494558,4710439,0,0,0,2014
371,509549,4710049,0,0,0,2014
372,514853,4709101,0,0,0,2014
373,517817,4710294,NA,0,0,2014
374,520231,4708701,0,0,0,2014
375,236667,4713158,NA,0,0,2014
376,389767,4725743,0,0,0,2014
377,339261,4714447,0,0,0,2014
378,425479,4714170,0,0,0,2014
379,428242,4712579,0,0,0,2014
380,449287,4714999,0,0,0,2014
381,452398,4713641,0,0,0,2014
382,464447,4712557,0,0,0,2014
383,476436,4713869,0,0,0,2014
384,477988,4712717,0,0,0,2014
385,491484,4713975,0,0,0,2014
386,517480,4713055,NA,0,0,2014
387,523251,4712382,0,0,0,2014
388,525337,4712469,0,0,0,2014
389,393803,4724954,0,0,0,2014
390,320381,4718032,0,0,0,2014
391,424332,4717832,0,0,0,2014
392,428202,4717327,0,0,0,2014
393,465603,4717672,0,0,0,2014
394,467797,4717482,0,0,0,2014
395,475088,4717609,0,0,0,2014
396,479702,4717747,0,0,0,2014
397,483200,4716661,0,0,0,2014
398,499154,4716890,0,0,0,2014
399,501132,4717204,0,0,0,2014
400,518071,4717052,0,0,0,2014
401,523410,4717139,0,0,0,2014
402,547449,4717840,0,0,0,2014
403,551729,4716359,0,0,0,2014
404,389086,4727819,0,0,0,2014
405,309404,4737351,0,0,0,2014
406,320339,4720579,0,0,0,2014
407,324452,4720714,0,0,0,2014
408,466737,4720984,0,0,0,2014
409,480071,4721185,0,0,0,2014
410,493869,4720818,0,0,0,2014
411,498653,4720782,0,0,0,2014
412,502497,4721223,0,0,0,2014
413,506394,4723071,0,0,0,2014
414,548930,4719541,0,0,0,2014
415,551443,4721205,0,0,0,2014
416,557819,4721074,0,0,0,2014
417,560480,4720850,0,0,0,2014
418,311540,4743500,0,0,0,2014
419,393407,4739259,0,0,0,2014
420,397732,4741405,0,0,0,2014
421,324297,4725760,0,0,0,2014
422,435639,4724829,0,0,0,2014
423,440940,4726133,0,0,0,2014
424,498698,4725268,0,0,0,2014
425,502712,4726042,0,0,0,2014
426,560457,4724373,0,0,0,2014
427,402406,4740347,0,0,0,2014
428,463555,4740935,0,0,0,2014
429,421756,4728686,0,0,0,2014
430,435543,4728426,0,0,0,2014
431,441687,4728476,0,0,0,2014
432,521337,4728823,0,0,0,2014
433,524828,4728865,0,0,0,2014
434,528970,4729401,0,0,0,2014
435,532304,4728570,0,0,0,2014
436,394147,4744947,0,0,0,2014
437,417958,4732851,0,0,0,2014
438,420849,4732988,0,0,0,2014
439,425385,4732084,0,0,0,2014
440,435089,4732171,0,0,0,2014
441,442203,4733879,0,0,0,2014
442,468130,4731330,0,0,0,2014
443,471214,4733770,0,0,0,2014
444,482417,4733360,0,0,0,2014
445,485977,4733551,0,0,NA,2014
446,490322,4733870,0,0,0,2014
447,502471,4733116,0,0,0,2014
448,505250,4733999,0,0,0,2014
